escala,versao,threads,schedule,chunk,arquivos,bytes,repeticao,tempo_s
forte,openmp,4,dynamic,1,1024,105775104,7,0.049784
forte,openmp,4,dynamic,1,1024,105775104,8,0.049771
forte,openmp,4,dynamic,1,1024,105775104,9,0.050168
forte,openmp,4,dynamic,1,1024,105775104,10,0.049542
forte,openmp,4,dynamic,1,1024,105775104,11,0.049912
forte,openmp,4,dynamic,1,1024,105775104,12,0.049973
forte,openmp,4,dynamic,1,1024,105775104,13,0.050321
forte,openmp,4,dynamic,1,1024,105775104,14,0.050057
forte,openmp,4,dynamic,1,1024,105775104,15,0.050395
forte,openmp,4,dynamic,4,1024,105775104,1,0.050150
forte,openmp,4,dynamic,4,1024,105775104,2,0.049644
forte,openmp,4,dynamic,4,1024,105775104,3,0.050096
forte,openmp,4,dynamic,4,1024,105775104,4,0.050038
forte,openmp,4,dynamic,4,1024,105775104,5,0.050024
forte,openmp,4,dynamic,4,1024,105775104,6,0.050244
forte,openmp,4,dynamic,4,1024,105775104,7,0.050587
forte,openmp,4,dynamic,4,1024,105775104,8,0.050017
forte,openmp,4,dynamic,4,1024,105775104,9,0.049622
forte,openmp,4,dynamic,4,1024,105775104,10,0.049907
forte,openmp,4,dynamic,4,1024,105775104,11,0.049997
forte,openmp,4,dynamic,4,1024,105775104,12,0.049996
forte,openmp,4,dynamic,4,1024,105775104,13,0.049681
forte,openmp,4,dynamic,4,1024,105775104,14,0.049788
forte,openmp,4,dynamic,4,1024,105775104,15,0.049687
forte,openmp,4,dynamic,16,1024,105775104,1,0.050390
forte,openmp,4,dynamic,16,1024,105775104,2,0.050890
forte,openmp,4,dynamic,16,1024,105775104,3,0.050253
forte,openmp,4,dynamic,16,1024,105775104,4,0.050503
forte,openmp,4,dynamic,16,1024,105775104,5,0.050247
forte,openmp,4,dynamic,16,1024,105775104,6,0.050957
forte,openmp,4,dynamic,16,1024,105775104,7,0.050733
forte,openmp,4,dynamic,16,1024,105775104,8,0.051360
forte,openmp,4,dynamic,16,1024,105775104,9,0.050677
forte,openmp,4,dynamic,16,1024,105775104,10,0.050541
forte,openmp,4,dynamic,16,1024,105775104,11,0.051483
forte,openmp,4,dynamic,16,1024,105775104,12,0.050301
forte,openmp,4,dynamic,16,1024,105775104,13,0.051476
forte,openmp,4,dynamic,16,1024,105775104,14,0.050199
forte,openmp,4,dynamic,16,1024,105775104,15,0.050794
forte,openmp,4,guided,1,1024,105775104,1,0.049647
forte,openmp,4,guided,1,1024,105775104,2,0.049516
forte,openmp,4,guided,1,1024,105775104,3,0.049626
forte,openmp,4,guided,1,1024,105775104,4,0.050001
forte,openmp,4,guided,1,1024,105775104,5,0.049744
forte,openmp,4,guided,1,1024,105775104,6,0.049543
forte,openmp,4,guided,1,1024,105775104,7,0.050076
forte,openmp,4,guided,1,1024,105775104,8,0.049864
forte,openmp,4,guided,1,1024,105775104,9,0.058031
forte,openmp,4,guided,1,1024,105775104,10,0.049725
forte,openmp,4,guided,1,1024,105775104,11,0.049449
forte,openmp,4,guided,1,1024,105775104,12,0.050874
forte,openmp,4,guided,1,1024,105775104,13,0.050156
forte,openmp,4,guided,1,1024,105775104,14,0.049778
forte,openmp,4,guided,1,1024,105775104,15,0.049827
forte,openmp,4,guided,4,1024,105775104,1,0.049947
forte,openmp,4,guided,4,1024,105775104,2,0.050059
forte,openmp,4,guided,4,1024,105775104,3,0.050438
forte,openmp,4,guided,4,1024,105775104,4,0.049687
forte,openmp,4,guided,4,1024,105775104,5,0.049570
forte,openmp,4,guided,4,1024,105775104,6,0.049938
forte,openmp,4,guided,4,1024,105775104,7,0.049720
forte,openmp,4,guided,4,1024,105775104,8,0.050161
forte,openmp,4,guided,4,1024,105775104,9,0.049996
forte,openmp,4,guided,4,1024,105775104,10,0.050635
forte,openmp,4,guided,4,1024,105775104,11,0.050045
forte,openmp,4,guided,4,1024,105775104,12,0.049973
forte,openmp,4,guided,4,1024,105775104,13,0.050004
forte,openmp,4,guided,4,1024,105775104,14,0.049783
forte,openmp,4,guided,4,1024,105775104,15,0.049993
forte,openmp,4,guided,16,1024,105775104,1,0.050864
forte,openmp,4,guided,16,1024,105775104,2,0.051249
forte,openmp,4,guided,16,1024,105775104,3,0.050361
forte,openmp,4,guided,16,1024,105775104,4,0.050925
forte,openmp,4,guided,16,1024,105775104,5,0.050894
forte,openmp,4,guided,16,1024,105775104,6,0.051408
forte,openmp,4,guided,16,1024,105775104,7,0.050738
forte,openmp,4,guided,16,1024,105775104,8,0.051098
